ref;year;month;pkd;opd;pke;ope;ctrd
c2;2019;8;58.96;71.56;1872.99;9719.64;140.00
c2;2019;9;84.16;105.33;2892.20;11956.64;140.00
c2;2019;10;106.84;108.86;2994.64;12335.14;140.00
c2;2019;11;66.02;96.76;2836.51;11866.80;140.00
c2;2019;12;117.43;134.56;3750.01;13412.44;140.00
c2;2020;1;48.88;91.22;960.49;5785.03;140.00
c2;2020;2;86.18;67.03;1673.02;8697.52;140.00
c2;2020;3;139.60;131.04;4508.65;15277.37;140.00
c2;2020;4;39.31;55.94;906.06;5918.34;140.00
c2;2020;5;19.15;21.67;809.00;5031.00;140.00
c2;2020;6;14.11;17.64;747.00;4788.00;140.00
c2;2020;7;14.61;14.61;709.00;4618.00;140.00
c2;2020;8;13.60;18.64;788.00;4513.00;140.00
c2;2020;9;14.11;16.12;675.00;4618.00;140.00
c2;2020;10;14.11;19.65;691.00;4199.00;140.00
c2;2020;11;NA;NA;NA;NA;NA
c2;2020;12;NA;NA;NA;NA;NA
c3;2014;1;NA;NA;4478.00;60416.00;480.00
c3;2014;2;NA;NA;14447.00;114968.00;480.00
c3;2014;3;NA;NA;19885.00;116042.00;480.00
c3;2014;4;NA;NA;18192.00;111811.00;480.00
c3;2014;5;NA;NA;17269.00;100828.00;480.00
c3;2014;6;NA;NA;13175.00;88308.00;480.00
c3;2014;7;NA;NA;11240.00;75228.00;480.00
c3;2014;8;NA;NA;8158.00;95380.00;480.00
c3;2014;9;NA;NA;7968.00;101568.00;480.00
c3;2014;10;NA;NA;7220.00;106623.00;480.00
c3;2014;11;NA;NA;7107.00;146591.00;480.00
c3;2014;12;202.16;695.52;6239.00;133814.00;480.00
c3;2015;1;238.56;444.64;5824.00;62141.00;480.00
c3;2015;2;361.20;659.68;6940.00;127839.00;480.00
c3;2015;3;399.28;709.52;9448.00;151165.00;480.00
c3;2015;4;303.52;588.56;7512.00;116134.00;480.00
c3;2015;5;304.08;589.12;7522.00;116295.00;480.00
c3;2015;6;248.08;467.04;7466.00;98861.00;480.00
c3;2015;7;0;70.56;5137.00;69646.00;480.00
c3;2015;8;109.76;223.44;5885.00;67674.00;480.00
c3;2015;9;108.08;287.84;4847.00;65147.00;480.00
c3;2015;10;179.20;371.28;6400.00;89052.00;480.00
c3;2015;11;142.80;617.12;5539.00;121739.00;480.00
c3;2015;12;141.68;721.28;4812.00;120225.00;480.00
c3;2016;1; 159.60;408.24;5716.00;89679.00;480.00
c3;2016;2;386.96;749.28;6213.00;148401.00;480.00
c3;2016;3;183.12;447.44;5892.00;96916.00;480.00
